#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B23D40
#Date Time: 2026-07-24 07:44:19.267
#Start: 50000 Hz
#Stop: 1.02319e+06 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 20 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 21.9572 V
#Offset: -0.000630704 V
#Relative: yes
#Channel: Channel 3
#Range: 21.8563 V
#Offset: -0.000101478 V
#Relative: no
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Triangle
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 1 V
#Offset: 1.65 V
#Symmetry: 50 %
#Phase: 270 °

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg),Channel 3 Magnitude (dB)
148226.3030698415,-58.23443791371818,-175.836362072561,0.0416380942198566
152768.9682774926,-59.17581446582411,-175.3113473732944,0.04408145211143449
157450.8517396736,-60.01539577892217,-176.8880713068948,0.03669157149514988
162276.220053527,-60.72975194289012,-175.660289303926,0.04811706549447765
167249.4705738408,-61.4013657892668,-175.2267802146296,0.04973348901123834
172375.135420355,-62.69643341415274,-177.1488413577829,0.04918214775059579
177657.8856078789,-63.07053013697051,-177.2273210547258,0.05465736173245277
183102.535302984,-63.58168774842034,-177.5429019542026,0.05617956158494654
188714.0462111502,-64.44769074205088,177.7407552163015,0.05774130554212818
194497.532098365,-65.35380066341661,169.7461794745025,0.05857250293898225
200458.2634512945,-67.15390653830829,162.3988921551719,0.06030794058698969
206601.6722802747,-69.74171393652611,159.4951757872542,0.06218250617798252
212933.3570694981,-71.25038749642751,162.3743111081876,0.06328284971683081
219459.0878789091,-72.78734020762835,160.9880216369304,0.06783569942990399
226184.8116024551,-73.44204659809489,159.0590623893694,0.06401647082965811
233116.6573874873,-73.73729937147036,157.1970708279894,0.07223387432960995
240260.942220248,-75.0219641954786,149.277526224699,0.07327674378976719
247624.1766825358,-75.03171234148579,139.0610777247146,0.07563688621878195
255213.0708847948,-75.64585513667042,132.8335996894817,0.07713309667442954
263034.5405810328,-74.61754124647884,116.3619132247345,0.07767957284886846
271095.7134711435,-75.83481404275004,112.2100398389393,0.08020319642900119
279403.9356963745,-73.57367863965111,96.91754244285276,0.06763794453610232
287966.778533861,-74.94162275810011,94.20694305796651,0.08329734864361088
296792.0452963247,-73.09366459755218,90.32237399217138,0.08038245828877877
305887.7784432275,-72.79321864954051,86.47564945320181,0.08285481202142553
315262.2669098595,-72.30290637456545,84.17429470290729,0.08760551309532374
324924.0536610397,-72.11491907762432,85.98272647356066,0.08689090899492589
334881.9434763142,-70.8915923828354,81.12736637837692,0.08323400130171557
345145.010973745,-70.37887279060659,77.67360785414596,0.09133118711055119
355722.6088796041,-69.99559109451876,79.7770607119009,0.0770819422251242
366624.3765515054,-68.99483793906458,70.74755014925488,0.09455007451801613
377860.2487627455,-68.71579752040761,76.68494652866562,0.09549445407576447
389440.4647558553,-67.83760033825918,78.37439089146365,0.09687695822171612
401375.577573614,-67.71731411665658,78.28346241850365,0.08948855876574843
413676.4636760314,-67.00824016125826,76.78285981220181,0.09831786994168777
426354.3328520561,-67.09152925561642,74.48708191722474,0.08777153194622803
439420.73843505,-66.0867913477958,76.13712483941808,0.09622793180941308
452887.5878313322,-65.26719231262032,77.29495080351181,0.09210584736803305
466767.1533713906,-65.21412306418057,78.51192750154992,0.1013984478341948
481072.0834936474,-64.93022192886728,79.16922248878627,0.1024191833910232
495815.4142709731,-64.50624153784213,80.31585271165274,0.1022798207145798
511010.5812904501,-64.27653332582626,80.34617281285823,0.1032231960546655
526671.4318972139,-63.71274131362176,82.66188003430877,0.1036491127570322
542812.2378135292,-63.40585112758019,82.80777641427569,0.09794366040211649
559447.7081446006,-63.09726646876432,82.21383885936959,0.1029071820637539
576593.0027829695,-62.64642269658325,82.74622459415971,0.1031005764928166
594263.7462237141,-62.31330996187985,84.33115786175185,0.09581015595696693
612476.0418030411,-61.7590836330083,84.23395923208722,0.1035535437134955
631246.4863732439,-61.60225607243056,85.82325081090541,0.1030899533348904
650592.1854274028,-61.40597506519182,86.35579105256211,0.1026756581340474
670530.76868761,-61.00308839975227,87.11932875364556,0.09294584664101789
691080.4061709217,-60.65747570996257,87.97215153583552,0.1003104053353621
712259.8247476828,-60.38907703505244,88.91980492979926,0.09300539403501563
734088.3252073105,-59.99074195648015,89.86321814043208,0.09939757326287907
756585.7998470905,-59.55121069935494,91.19033965279672,0.09670575436840223
779772.7506000134,-59.2966889803135,90.85355150274034,0.09693842432654323
803670.3077181722,-59.06977577529192,92.66994084461643,0.09267546927140921
828300.2490287464,-58.68604471373387,92.90813518270485,0.09304806719096195
853685.0197801201,-58.34939369026689,93.51007560593047,0.08389630133333953
879847.7530962228,-58.11503618392011,94.85578294463167,0.08786364312934086
906812.2910577271,-57.74824037441945,95.33546360579599,0.07822891606206409
934603.2064293217,-57.41461586113953,96.37905831118897,0.08218064821839463
963245.8250528541,-57.10452233988579,97.74678998470785,0.07881499332422805
992766.2489267533,-56.78333373907673,98.7616430112202,0.05871175566963273
1023191.379992762,-56.49116661140928,99.56205905261766,0.06214094832290268
